month;urodzenia;zgony;malzenstwa;pop
2018-08-01;34.7;31.9;32.3;38420
2018-09-01;31.7;29.1;27.6;38423
2018-10-01;35.0;36.1;22.1;38422
2018-11-01;30.0;32.8;5.3;38419
2018-12-01;27.3;35.9;8.7;38411
2019-01-01;33.7;39.2;5.2;38406
2019-02-01;28.3;36.3;4.3;38398
2019-03-01;28.8;34.1;5.5;38393
2019-04-01;32.2;35.5;9.0;38391
2019-05-01;30.9;33.2;15.7;38389
2019-06-01;28.4;31.0;26.5;38386
2019-07-01;37.0;34.5;24.7;38390
2019-08-01;33.2;30.8;29.9;38393
2019-09-01;33.3;32.3;28.8;38395
2019-10-01;33.0;34.4;19.5;38394
2019-11-01;27.9;31.6;5.3;38391
2019-12-01;28.3;36.9;9.1;38383
2020-01-01;33.2;36.6;4.9;38379
2020-02-01;27.5;34.1;5.4;38373
2020-03-01;27.6;37.6;3.8;38364
2020-04-01;28.5;34.5;3.5;38358
2020-05-01;29.0;31.5;4.0;38356
2020-06-01;31.0;34.5;15.0;38353
2020-07-01;33.0;33.5;18.0;38353
