GUSdata;Population;Marriages;Seperations;Divorces;Livebirths;Deaths;Infantdeaths;Naturalincrease;Marriages1;Livebirths1;Deaths1;Infantdeaths1;Naturalincrease1;
2013 VIII;38507;31.5;NA;NA;32.6;28.6;0.1;4.0;9.8;10.2;8.9;4.4;1.3;
2013 IX;38507;30.0;0.5;14.5;32.3;30.0;0.1;2.3;9.3;10.1;9.3;4.6;0.7;
2013 X;38506;19.5;NA;NA;32.2;32.5;0.1;-0.2;6.1;10.0;10.1;4.3;-0.1;
2013 XI;38503;4.3;NA;NA;27.6;29.3;0.1;-1.7;1.3;8.6;9.1;4.4;-0.5;
2013 XII;38496;9.3;0.5;15.6;27.9;33.9;0.1;-6.0;2.9;8.7;10.6;5.3;-1.9;
2014 I;38494;4.8;NA;NA;32.5;33.1;0.1;-0.6;1.5;10.1;10.3;4.0;-0.2;
2014 II;38491;4.6;NA;NA;28.6;30.7;0.1;-2.1;1.4;8.9;9.6;3.8;-0.7;
2014 III;38486;6.2;0.5;16.5;29.8;33.8;0.2;-3.9;1.9;9.3;10.5;5.1;-1.2;
2014 IV;38483;9.8;NA;NA;30.5;31.7;0.1;-1.2;3.0;9.5;9.9;4.7;-0.4;
2014 V;38483;13.2;NA;NA;30.8;30.2;0.1;0.6;4.1;9.6;9.4;4.1;0.2;
2014 VI;38484;28.4;0.5;18.0;31.2;28.9;0.2;2.3;8.9;9.7;9.0;4.8;0.7;
2014 VII;38488;22.7;NA;NA;36.4;31.0;0.1;5.4;7.1;11.4;9.7;3.8;1.7;
2014 VIII;38490;33.0;NA;NA;31.0;27.5;0.1;3.4;10.3;9.7;8.6;3.4;1.1;
2014 IX;38492;31.4;0.4;15.1;35.0;31.4;0.1;3.6;9.8;10.9;9.8;4.1;1.1;
2014 X;38491;20.1;NA;NA;32.8;32.2;0.1;0.6;6.3;10.2;10.0;4.0;0.2;
2014 XI;38487;4.5;NA;NA;27.2;29.7;0.1;-2.5;1.4;8.5;9.3;4.2;-0.8;
2014 XII;38479;9.7;0.4;16.2;29.5;36.4;0.1;-6.8;3.0;9.2;11.3;4.7;-2.1;
2015 I;38476;4.8;NA;NA;32.2;33.6;0.1;-1.4;1.5;10.0;10.5;3.1;-0.4;
2015 II;38467;5.5;NA;NA;27.1;34.7;0.1;-7.6;1.7;8.4;10.8;4.2;-2.4;
2015 III;38458;4.0;0.5;18.1;30.0;38.8;0.1;-8.7;1.2;9.4;12.1;3.6;-2.7;
2015 IV;38452;13.2;NA;NA;30.6;34.9;0.1;-4.4;4.1;9.5;10.9;4.0;-1.4;
2015 V;38450;12.3;NA;NA;29.5;30.3;0.1;-0.8;3.8;9.2;9.5;3.8;-0.2;
2015 VI;38449;29.1;0.4;17.8;31.8;31.5;0.1;0.3;9.1;9.9;9.8;4.2;0.1;
