Code;Title
E_compl_e9;Compliance with ban on free distribution in mail or through other means (score)
E_comprehensive_subnat;Subnational bans on advertising, promotion and sponsorship - at least one jurisdiction has a comprehensive ban in place
E_Group;Enforce bans on tobacco advertising
E1_compliance;Compliance of ban on advertising on national TV and radio
E1_nat_tv_radio;Ban on advertising on national television and radio
E10_compliance;Compliance of ban on promotional discounts
E10_promo_discounts;Ban on promotional discounts
E11_brand_stretching;Ban on identifying non-tobacco products with tobacco brand names
E11_compliance;Compliance of ban on non-tobacco goods AND services identified with tobacco brand names
E12_brand_sharing;Ban on use of brand name of non-tobacco product for tobacco product
E12_compliance;Compliance of ban on brand name of non-tobacco products used for tobacco product
E13_brand_placement;Ban on appearance of tobacco brands in TV and/or films (product placement)
E13_compliance;Compliance of ban on appearance of tobacco brands in TV and/or films (product placement)
E14_compliance;Compliance of ban on appearance of tobacco products in TV and/or films
E14_prod_tv_films;Appearance of tobacco products in TV and/or films
E14a_prod_tv_films;Ban on appearance of tobacco products in TV and/or films
E14b_movies_anti_tob_ads;Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images
E15_compliance;Compliance of ban on sponsored events
E15_sponsored_events;Sponsored events
E15a_sponsorship;Ban on sponsorship (contributions and/or publicity of contributions)
E15b_sponsor_contribution;Ban on any form of contribution (financial or other support) to any event, activity or individual
E15c_sponsor_publicity;Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals
E15d_csr_ban;Ban on Corporate Social Responsibility activities (CSR) (see E17a_csr_ban)
E16_csr_promo_self;Ban on tobacco companies/tobacco industry publicizing their “Corporate Social Responsibility” activities
E17_csr_promo_others;Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility� activities of the tobacco companies
E17a_csr_ban;Ban on Corporate Social Responsibility activities (CSR)
E17b_csr_promo_self;Ban on tobacco companies/the tobacco industry publicizing their CSR activities
E17c_csr_promo_others;Ban on entities other than tobacco companies/the tobacco industry publicizing the CSR activities of the tobacco companies/industry
E18_csr_anti_tobacco_media;Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth
E19_indirect_ad_fines;Law requires fines for violations of indirect advertising bans,2018
E19_movies_anti_tob_ads;Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images (see E14b_movies_anti_tob_ads)
E2_intl_tv_radio;Ban on advertising on international television and radio
E20_subnational_exists;Subnational laws or regulations exist banning some or all types of tobacco advertising, promotion and sponsorship
E21_vending_machines;Complete ban on tobacco vending machines
E21a_direct_ad_fines;Law requires fines for violations of advertising bans
E21b_indirect_ad_fines;Law requires fines for violations of promotion and sponsorship bans
E22_subnational_authority_exists;Subnational bans on tobacco advertising, promotion and sponsorship authority exists
E22_subnational_exists;Subnational bans on tobacco advertising, promotion and sponsorship
E23_subnat_complete_bans_exist;Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehensive ban in place
E23_vending_machines;Ban on tobacco vending machines
E24_internet_sales_ban;Ban on internet sales of tobacco products
E25_ban_display_pt_of_sale;Ban on display of tobacco products at points of sale
E26_direct_ad_fines;Law requires fines for violations of direct advertising bans, 2015
E27_indirect_ad_fines;Law requires fines for violations of indirect advertising bans,2015
E3_compliance;Compliance of ban on advertising on local magazines and newspapers
E3_nat_print;Ban on advertising in local magazines and newspapers
E4_intl_print;Ban on advertising in international magazines and newspapers
E5_billboards;Ban on billboard and outdoor advertising
E5_compliance;Compliance of ban on advertising on billboards and outdoor advertising
E6_compliance;Compliance of ban on advertising at point of sale
E6_pt_of_sale;Ban on advertising: Point of sale
E6a_pt_of_sale;Ban on advertising at point of sale
E6b_ban_display_pt_of_sale;Ban on product display at point of sale
E7_internet;Ban on advertising on the internet
E8_direct_ad_fines;Law requires fines for violations of direct advertising bans, 2018
E9_compliance;Compliance of ban on free distribution of tobacco products in the mail or through other means
E9_free_distrib;Ban on free distribution in mail or through other means
ebreast;(see bfearly)
ebreast5;(see bfearly)
EC_direct_compliance;Compliance with bans on direct advertising
EC_indirect_compliance;Compliance with bans on promotion and sponsorship
EMFLIMITELECTRIC;Electric field (kV/m)
EMFLIMITELECTRIC1800;Electric field limit at 1800 MHz (V/m)
EMFLIMITELECTRIC900;Electric field limit at 900 MHz (V/m)
EMFLIMITELECTRICLF;Electric field (kV/m) low frequency
EMFLIMITELECTRICRF;Electric field (V/m)
EMFLIMITMAGNETIC;Magnetic flux density (microT)
EMFLIMITPOWERDENSITY;Power density (W/m^2)
EMFLIMITPOWERDENSITY1800;Power density limit at 1800 MHz (W/m^2)
EMFLIMITPOWERDENSITY900;Power density limit at 900 MHz (W/m^2)
EMFPOWERFREQUENCY;Power frequency (Hz)
EMFSAR;Specific absorption rate (SAR) (W/kg)
EMFSTANDARD;Existence of standards
EMFSTATUS;Legislative status
EQ_CONDOMUSE;People who identify the use of condoms as a way to avoid AIDS (%)
EQ_OVERWEIGHTADULT;see NUTOVERWEIGHTPREV
FAMILYPLANNINGUNPDUHC;Women who have their need for family planning satisfied with modern methods (%) - modelled estimates
FINANCIALHARDSHIP_MILLIONOFPOP;Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (millions)
FINANCIALHARDSHIP_PROPORTIONOFPOP;Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)
FINPROTECTION_CATA_CTPFHU_40_HH;Households with out-of-pocket payments greater than 40% of capacity to pay for health care (food, housing and utilities approach - developed by WHO/Europe) (%, national)
FINPROTECTION_CATA_ESTIMATE_AVAILABLE;Availability of estimates on large health expenditures as a share of total expenditure or income
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION;Total population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (millions, global, regional)
FINPROTECTION_CATA_TOT_10_LEVEL_SH;Total population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%, regional, global)
FINPROTECTION_CATA_TOT_10_POP;Population with household expenditures on health greater than 10% of total household expenditure or income (SDG indicator 3.8.2) (%, national, rural, urban)
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION;Total population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (millions, regional, global)
FINPROTECTION_CATA_TOT_25_LEVEL_SH;Total population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%, regional, global)
FINPROTECTION_CATA_TOT_25_POP;Population with household expenditures on health greater than 25% of total household expenditure or income (SDG indicator 3.8.2) (%, national, rural, urban)
FINPROTECTION_IMP_BNLFHU_FURIMP_HH;Households  impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national)
FINPROTECTION_IMP_BNLFHU_P_HH;Households further impoverished by out-of-pocket payments (relative poverty line reflecting basic needs: food, housing, utilities - developed by WHO/Europe) (%, national)
FINPROTECTION_IMP_BNLFHU_TOT_HH;Households pushed below or further below a relative poverty line (reflecting basic needs: food, housing, utilities - developed by WHO/Europe) by out-of-pocket payments (%, national)
FINPROTECTION_IMP_NP_190_LEVEL_MILLION;Total population pushed below the $1.90 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_NP_190_LEVEL_SH;Total population pushed below the $1.90 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_NP_215_LEVEL_MILLION;Total population pushed below the $2.15 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_NP_215_LEVEL_SH;Total population pushed below the $2.15 a day poverty line by household health expenditures (%, regional, global)
