tp;zgony;month;year;monthno;date;t
2022-01-01;34505;M05;2022;5;2022-05-01;269
2022-01-01;33150;M06;2022;6;2022-06-01;270
2022-01-01;33388;M07;2022;7;2022-07-01;271
2022-01-01;34893;M08;2022;8;2022-08-01;272
2022-01-01;34594;M09;2022;9;2022-09-01;273
2022-01-01;37009;M10;2022;10;2022-10-01;274
2022-01-01;33523;M11;2022;11;2022-11-01;275
2022-01-01;41504;M12;2022;12;2022-12-01;276
2023-01-01;40952;M01;2023;1;2023-01-01;277
2023-01-01;32671;M02;2023;2;2023-02-01;278
2023-01-01;36679;M03;2023;3;2023-03-01;279
2023-01-01;33078;M04;2023;4;2023-04-01;280
2023-01-01;32956;M05;2023;5;2023-05-01;281
2023-01-01;31249;M06;2023;6;2023-06-01;282
2023-01-01;31013;M07;2023;7;2023-07-01;283
2023-01-01;31611;M08;2023;8;2023-08-01;284
2023-01-01;30473;M09;2023;9;2023-09-01;285
2023-01-01;34300;M10;2023;10;2023-10-01;286
2023-01-01;35069;M11;2023;11;2023-11-01;287
2023-01-01;38985;M12;2023;12;2023-12-01;288
2024-01-01;38795;M01;2024;1;2024-01-01;289
2024-01-01;34884;M02;2024;2;2024-02-01;290
2024-01-01;33919;M03;2024;3;2024-03-01;291
2024-01-01;32047;M04;2024;4;2024-04-01;292
2024-01-01;32722;M05;2024;5;2024-05-01;293
2024-01-01;30908;M06;2024;6;2024-06-01;294
2024-01-01;31889;M07;2024;7;2024-07-01;295
2024-01-01;32769;M08;2024;8;2024-08-01;296
2024-01-01;32067;M09;2024;9;2024-09-01;297
2024-01-01;35602;M10;2024;10;2024-10-01;298
2024-01-01;33404;M11;2024;11;2024-11-01;299
2024-01-01;39498;M12;2024;12;2024-12-01;300
2025-01-01;41102;M01;2025;1;2025-01-01;301
2025-01-01;35228;M02;2025;2;2025-02-01;302
2025-01-01;36418;M03;2025;3;2025-03-01;303
2025-01-01;32748;M04;2025;4;2025-04-01;304
2025-01-01;31391;M05;2025;5;2025-05-01;305
2025-01-01;31477;M06;2025;6;2025-06-01;306
2025-01-01;32000;M07;2025;7;2025-07-01;307
2025-01-01;29500;M08;2025;8;2025-08-01;308
2025-01-01;33000;M09;2025;9;2025-09-01;309
